Themed furniture — all craftable.

Difficulty is 1–5 (crafting minigame). Recipes use 1–4 ingredients.

# Materials

Gathered
| Item     | Source                         |
| -------- | ------------------------------ |
| Stick    | Ground pickup                  |
| Stone    | Ground pickup                  |
| Wood     | Trees                          |
| Iron Ore | Mining                         |
| Scrap    | Salvage / industrial           |
| Cloth    | Fiber / shop                   |
| Crystal  | Mining (rare)                  |

Processed (craft these first)
| Item  | Recipe         | Difficulty |
| ----- | -------------- | ---------- |
| Plank | 2 Wood         | 1          |
| Iron  | 2 Iron Ore     | 2          |
| Rope  | 4 Stick        | 1          |
| Glass | 3 Stone        | 2          |

# Cozy Cabin Set
| Item                | Recipe                    | Difficulty |
| ------------------- | ------------------------- | ---------- |
| Cabin Bed           | 12 Plank, 6 Cloth, 2 Iron | 4          |
| Cabin Nightstand    | 4 Plank, 1 Iron           | 2          |
| Cabin Dresser       | 8 Plank, 2 Iron, 2 Cloth  | 3          |
| Cabin Wardrobe      | 12 Plank, 3 Iron          | 4          |
| Cabin Chair         | 6 Plank, 2 Cloth          | 2          |
| Cabin Rocking Chair | 8 Plank, 2 Cloth          | 3          |
| Cabin Sofa          | 10 Plank, 8 Cloth, 2 Iron | 3          |
| Cabin Coffee Table  | 6 Plank, 2 Iron           | 2          |
| Cabin Dining Table  | 10 Plank, 4 Iron          | 3          |
| Cabin Dining Chair  | 5 Plank, 1 Cloth          | 2          |
| Cabin Bookshelf     | 8 Plank, 2 Iron           | 3          |
| Cabin Fireplace     | 20 Stone, 4 Iron, 4 Plank | 4          |
| Cabin Rug           | 6 Cloth                   | 1          |
| Cabin Lamp          | 2 Plank, 2 Glass, 1 Iron  | 2          |
| Cabin Wall Shelf    | 4 Plank, 1 Iron           | 1          |

# Sakura Set
| Item                 | Recipe                      | Difficulty |
| -------------------- | --------------------------- | ---------- |
| Sakura Bed           | 10 Plank, 8 Cloth, 2 Glass  | 4          |
| Sakura Chair         | 5 Plank, 3 Cloth            | 2          |
| Sakura Bench         | 8 Plank, 4 Cloth            | 3          |
| Sakura Table         | 8 Plank, 2 Iron             | 2          |
| Sakura Picnic Table  | 10 Plank, 2 Cloth           | 3          |
| Sakura Lantern       | 2 Plank, 2 Glass, 1 Cloth   | 2          |
| Sakura Tree Planter  | 6 Plank, 4 Stone            | 2          |
| Sakura Divider       | 8 Plank, 4 Cloth            | 3          |
| Sakura Wardrobe      | 12 Plank, 4 Cloth, 2 Iron   | 4          |
| Sakura Dresser       | 8 Plank, 3 Cloth, 2 Iron    | 3          |
| Sakura Vanity        | 8 Plank, 4 Glass, 2 Cloth   | 3          |
| Sakura Rug           | 6 Cloth                     | 1          |
| Sakura Sofa          | 10 Plank, 8 Cloth           | 3          |
| Sakura Cushion       | 4 Cloth                     | 1          |
| Sakura Tea Table     | 6 Plank, 2 Cloth            | 2          |

# Mushroom Set
| Item                | Recipe                     | Difficulty |
| ------------------- | -------------------------- | ---------- |
| Mushroom Stool      | 4 Wood, 2 Cloth            | 1          |
| Mushroom Chair      | 6 Wood, 3 Cloth            | 2          |
| Mushroom Table      | 8 Wood, 2 Stone            | 2          |
| Mushroom Lamp       | 3 Wood, 2 Glass            | 2          |
| Mushroom Bed        | 10 Wood, 8 Cloth, 2 Plank  | 4          |
| Mushroom Wardrobe   | 12 Wood, 4 Cloth, 2 Iron   | 4          |
| Mushroom Shelf      | 6 Wood, 2 Stone            | 2          |
| Mushroom Bookcase   | 10 Wood, 2 Cloth           | 3          |
| Mushroom Side Table | 4 Wood, 1 Stone            | 2          |
| Mushroom Planter    | 4 Wood, 4 Stone            | 2          |
| Mushroom Rug        | 5 Cloth                    | 1          |
| Giant Mushroom Seat | 12 Wood, 6 Cloth, 4 Stone  | 4          |

# Teddy Bear Set
| Item                 | Recipe                    | Difficulty |
| -------------------- | ------------------------- | ---------- |
| Teddy Bear Chair     | 6 Cloth, 4 Plank          | 2          |
| Teddy Bear Sofa      | 12 Cloth, 6 Plank, 2 Iron | 3          |
| Teddy Bear Bed       | 10 Cloth, 8 Plank, 2 Iron | 4          |
| Teddy Bear Shelf     | 4 Plank, 3 Cloth          | 2          |
| Teddy Bear Toy Chest | 8 Plank, 4 Cloth, 2 Iron  | 3          |
| Teddy Bear Lamp      | 3 Cloth, 2 Glass, 1 Plank | 2          |
| Teddy Bear Rug       | 6 Cloth                   | 1          |
| Teddy Bear Clock     | 3 Plank, 2 Cloth, 1 Iron  | 2          |
| Teddy Bear Cushion   | 4 Cloth                   | 1          |
| Teddy Bear Dresser   | 8 Plank, 4 Cloth, 2 Iron  | 3          |

# Cottagecore Set
| Item                 | Recipe                     | Difficulty |
| -------------------- | -------------------------- | ---------- |
| Cottage Bed          | 10 Plank, 8 Cloth, 2 Iron  | 4          |
| Cottage Sofa         | 8 Plank, 8 Cloth, 2 Iron   | 3          |
| Cottage Armchair     | 6 Plank, 6 Cloth           | 2          |
| Cottage Coffee Table | 6 Plank, 2 Iron            | 2          |
| Cottage Dining Table | 10 Plank, 4 Iron           | 3          |
| Cottage Chair        | 5 Plank, 2 Cloth           | 2          |
| Cottage Wardrobe     | 12 Plank, 3 Iron, 2 Cloth  | 4          |
| Cottage Cabinet      | 8 Plank, 2 Iron            | 3          |
| Cottage Shelf        | 5 Plank, 1 Iron            | 2          |
| Cottage Window Seat  | 8 Plank, 6 Cloth, 2 Iron   | 3          |
| Cottage Rug          | 6 Cloth                    | 1          |
| Cottage Lamp         | 2 Plank, 2 Glass, 1 Cloth  | 2          |
| Cottage Plant Stand  | 4 Plank, 2 Stone           | 1          |
| Cottage Tea Cart     | 8 Plank, 2 Iron, 2 Cloth   | 3          |
| Cottage Fireplace    | 18 Stone, 4 Iron, 4 Plank  | 4          |

# Beach Set
| Item            | Recipe                    | Difficulty |
| --------------- | ------------------------- | ---------- |
| Beach Chair     | 4 Plank, 3 Cloth          | 2          |
| Beach Towel     | 4 Cloth                   | 1          |
| Beach Umbrella  | 6 Cloth, 4 Stick, 1 Iron  | 3          |
| Sand Table      | 8 Stone, 2 Plank          | 2          |
| Seashell Lamp   | 3 Stone, 2 Glass, 1 Iron  | 2          |
| Coral Shelf     | 6 Stone, 2 Glass          | 2          |
| Driftwood Bench | 8 Wood, 2 Rope            | 3          |
| Driftwood Table | 8 Wood, 2 Stone           | 2          |
| Lifeguard Chair | 8 Plank, 4 Stick, 2 Iron  | 3          |
| Beach Cooler    | 4 Iron, 2 Glass, 2 Plank  | 2          |
| Surfboard Rack  | 6 Plank, 2 Iron, 2 Rope   | 2          |
| Seashell Rug    | 5 Cloth, 2 Stone          | 1          |

# Fishing Set
| Item                 | Recipe                    | Difficulty |
| -------------------- | ------------------------- | ---------- |
| Fishing Rod Rack     | 6 Plank, 2 Iron, 2 Stick  | 2          |
| Fish Display         | 4 Plank, 2 Glass, 1 Iron  | 2          |
| Aquarium Stand       | 8 Plank, 6 Glass, 2 Iron  | 4          |
| Tackle Box           | 4 Iron, 2 Plank, 1 Scrap  | 2          |
| Fishing Stool        | 4 Plank, 1 Cloth          | 1          |
| Fishing Bench        | 8 Plank, 2 Rope           | 2          |
| Dock Chair           | 5 Plank, 2 Cloth          | 2          |
| Bait Barrel          | 6 Plank, 2 Iron, 1 Rope   | 2          |
| Fish Cleaning Table  | 8 Plank, 2 Iron, 2 Stone  | 3          |
| Fisherman's Shelf    | 6 Plank, 2 Iron           | 2          |

# Garden Set
| Item              | Recipe                     | Difficulty |
| ----------------- | -------------------------- | ---------- |
| Garden Bench      | 8 Plank, 2 Iron            | 2          |
| Garden Chair      | 5 Plank, 1 Iron            | 2          |
| Garden Table      | 8 Plank, 4 Stone           | 2          |
| Garden Arch       | 12 Plank, 4 Iron, 2 Rope   | 4          |
| Garden Trellis    | 10 Stick, 4 Plank, 2 Rope  | 3          |
| Garden Fountain   | 24 Stone, 4 Iron, 2 Glass  | 5          |
| Garden Planter    | 4 Plank, 4 Stone           | 1          |
| Garden Shelf      | 6 Plank, 2 Stone           | 2          |
| Bird Bath         | 12 Stone, 2 Iron           | 3          |
| Watering Station  | 6 Iron, 4 Plank, 2 Stone   | 3          |
| Flower Cart       | 8 Plank, 2 Iron, 2 Cloth   | 3          |
| Hedge Divider     | 8 Stick, 4 Stone, 2 Rope   | 2          |

# Café Set
| Item                 | Recipe                      | Difficulty |
| -------------------- | --------------------------- | ---------- |
