Small clutter & story props — all craftable.

Difficulty is 1–5 (crafting minigame). Recipes use 1–4 ingredients.
Uses the same materials as items.txt (Plank, Iron, Cloth, Glass, Rope, Crystal, Wood, Stick, Stone, Scrap).

# Plush & Toys
| Item               | Recipe                     | Difficulty |
| ------------------ | -------------------------- | ---------- |
| Giant Ghost Plush  | 10 Cloth, 2 Crystal        | 3          |
| Tiny Ghost Plush   | 3 Cloth, 1 Crystal         | 1          |
| Calico Cat Plush   | 4 Cloth                    | 1          |
| Bunny Plush        | 4 Cloth                    | 1          |
| Fox Plush          | 4 Cloth                    | 1          |
| Penguin Plush      | 4 Cloth                    | 1          |
| Dinosaur Plush     | 5 Cloth                    | 2          |
| Whale Plush        | 5 Cloth                    | 2          |
| Sleepy Bear Plush  | 5 Cloth                    | 1          |
| Axolotl Plush      | 4 Cloth, 1 Glass           | 2          |
| Stacked Plushies   | 8 Cloth                    | 2          |
| Plush Hammock      | 6 Cloth, 2 Rope, 2 Stick   | 2          |
| Toy Train Set      | 4 Plank, 2 Iron            | 2          |
| Toy Castle         | 6 Plank, 2 Cloth           | 2          |
| Toy Kitchen        | 6 Plank, 2 Iron, 1 Glass   | 3          |
| Toy Robot          | 4 Iron, 2 Scrap, 1 Glass   | 2          |
| Toy Rocket         | 3 Iron, 2 Scrap, 1 Glass   | 2          |
| Toy Boat           | 4 Plank, 1 Cloth           | 1          |
| Dollhouse          | 8 Plank, 4 Cloth, 2 Glass  | 4          |
| Marble Track       | 6 Plank, 2 Glass           | 2          |

# Desk & Office
| Item                 | Recipe                    | Difficulty |
| -------------------- | ------------------------- | ---------- |
| Open Notebook        | 2 Cloth, 1 Plank          | 1          |
| Closed Journal       | 2 Cloth, 1 Plank          | 1          |
| Pencil Cup           | 2 Plank                   | 1          |
| Fountain Pen         | 1 Iron, 1 Glass           | 1          |
| Paint Brush Cup      | 2 Plank, 1 Cloth          | 1          |
| Sketchbook           | 2 Cloth, 1 Plank          | 1          |
| Sticky Notes         | 1 Cloth                   | 1          |
| Wooden Clipboard     | 2 Plank, 1 Iron           | 1          |
| Letter Organizer     | 4 Plank                   | 1          |
| File Box             | 4 Plank, 1 Iron           | 2          |
| Magnifying Glass     | 1 Iron, 2 Glass           | 1          |
| Reading Glasses      | 1 Iron, 2 Glass           | 1          |
| Typewriter           | 6 Iron, 2 Scrap, 1 Glass  | 3          |
| Polaroid Camera      | 3 Iron, 2 Glass, 1 Scrap  | 2          |
| Film Camera          | 4 Iron, 2 Glass           | 2          |
